FID,Name,Park_ID,Classification,Type_of_park,Address1,Address2,Address3,City,Zip,geom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.1,Collins Property,COL,Natural Resource Areas,NATURAL,,,,SAVAGE,20763,"POLYGON ((1359849.6817130449 540778.2983971848, 1359846.7550726125 540775.9570848516, 1359770.3697573582 540712.4489874905, 1359768.6137730984 540710.9856672642, 1359413.0269607087 540332.5710595157, 1359414.7829449656 540331.4004033467, 1359552.3350452322 540230.1386444247, 1359675.5466073873 540123.3162686875, 1359839.1458074925 539916.6954542404, 1359853.4863456034 539898.5502835639, 1360013.5735771907 540180.0930930459, 1360026.450795088 540331.6930673855, 1359877.4847971408 540672.354013587, 1359849.6817130449 540778.2983971848))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.2,Lash Property,LAS,Natural Resource Areas,NATURAL,9265 VOLLMERHAUSEN RD,,,LAUREL,20723,"POLYGON ((1359152.2632982852 538751.8925626213, 1359724.7141666326 539170.6948083213, 1359674.9612792993 539261.1279976517, 1359688.1311612409 539659.4437603417, 1359183.5783509007 539847.9194041028, 1359118.3142692833 539661.7850726795, 1359127.679518664 539658.565768207, 1359058.6108044886 539462.1881952694, 1358928.960633386 539507.5511219586, 1358873.6471292346 539416.2399405073, 1358721.754490855 539166.5975117184, 1358657.0757373264 539087.2855560371, 1359152.2632982852 538751.8925626213))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.3,Bollman Truss Bridge,BTB,County Historic Sites,HISTORIC,,,,SAVAGE,20763,"POLYGON ((1361754.9246337614 534564.1627695912, 1361759.0219303651 534521.7264833451, 1361764.289883143 534404.9535301464, 1361764.582547184 534396.7589369314, 1361820.48137942 534397.6369290568, 1361912.6705530044 534397.6369290615, 1362021.5415770446 534505.044632881, 1362015.1029680949 534527.2871001743, 1361994.616485079 534591.0878615743, 1361994.6164850772 534632.3534916466, 1361993.7384929482 534781.9048176779, 1361994.3238210343 534797.1233479251, 1361734.7308147857 534801.2206445327, 1361735.0234788281 534750.2971010236, 1361744.6813922524 534670.9851453424, 1361751.9979933295 534594.3071660376, 1361752.8759854604 534586.40523688, 1361753.168649504 534583.185932398, 1361754.9246337614 534564.1627695912))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.4,Savage Park,SAV,County Parkland,Regional,,,,SAVAGE,20763,"POLYGON ((1361322.9525061143 536166.4984056875, 1361323.5378342024 536206.0080515135, 1361323.8304982458 536236.1524479553, 1361323.8304982432 536270.9794690775, 1361324.1231622864 536376.3385246071, 1361324.415826329 536477.892947568, 1361324.7084903729 536657.003341959, 1361325.001154417 536807.4326601251, 1361324.4158263302 536822.9438544111, 1361325.0011544167 536899.3291696678, 1361325.586482503 537099.5113751554, 1361431.8235301543 537099.8040392081, 1361476.3084647087 537100.0967032423, 1361476.3084647118 537024.0040520336, 1361592.7887538734 537026.6380284196, 1361582.838176405 537153.0688950411, 1361695.2211689637 537154.5322152628, 1361678.8319825486 537279.7924257247, 1361644.882953549 537372.8595914362, 1361547.4258271882 537348.5684758484, 1361504.1115488065 537337.7399062567, 1361443.5300918806 537321.9360479226, 1361375.04670579 537304.376205342, 1361338.171036358 537295.3036200061, 1361276.1262592163 537279.7924257154, 1361180.1324530703 537255.2086460979, 1361078.57803011 537215.6990002767, 1361025.3131742594 537194.9198532095, 1360894.1996829417 537143.9963097097, 1360770.6954567472 537095.4140785572, 1360722.4058896312 537077.2689078805, 1360536.8568862937 537005.2735532749, 1360506.1271617636 537121.1685143481, 1360480.372725969 537218.0403126192, 1360454.9109542174 537314.619446847, 1360429.1565184225 537411.1985810839, 1360425.0592218197 537424.0757989795, 1360377.9403108782 537604.356849544, 1360303.6036439263 537895.8502364969, 1360291.019090072 537893.2162601016, 1360291.3117541126 537891.460275846, 1360145.5650606381 537854.877270454, 1359917.2871070032 537854.5846064059, 1359782.6616471696 537853.706614285, 1359793.1975527224 537789.9058528851, 1359832.4145345008 537414.4178855519, 1359832.707198543 537172.0920578525, 1359872.2168443655 536796.018762442, 1359842.6577760088 536610.7624231443, 1359854.3643377356 536580.618026707, 1359930.4569889456 536244.347041161, 1359932.505637246 536176.156319115, 1359925.4817002122 536089.5277623581, 1359908.2145216675 536032.4582739423, 1359887.142710564 535982.9980506502, 1359857.5836422094 535930.0258588467, 1359808.7087470067 535852.177223373, 1359777.10103035 535801.8390079554, 1359761.5898360633 535776.9625642947, 1359749.005282212 535752.3787846633, 1359733.7867519693 535718.1370916232, 1359723.250846414 535687.114703051, 1359712.4222768212 535643.5077606268, 1359707.1543240442 535605.4614350273, 1359702.4716993524 535520.5888625168, 1359723.5435104584 535249.5819585877, 1359723.2508464165 535203.0483757342, 1360113.9573439814 535208.6089925495, 1360111.6160316374 535361.0869590193, 1360999.2660744234 535372.2081926591, 1360990.4861531302 535763.7926823557, 1360783.5726746432 535761.4513700132, 1360781.2313622967 535861.5424727524, 1360986.388856525 535863.8837851041, 1360986.3888565246 535992.948628121, 1361026.7764944755 535993.2412921644, 1361323.8304982441 535995.5826045023, 1361323.8304982441 535995.5826045023, 1361324.1231622857 536011.3864628318, 1361323.2451701572 536032.4582739329, 1361323.2451701588 536066.4073029438, 1361323.5378342012 536093.0397308603, 1361325.2938184615 536096.2590353423, 1361325.2938184615 536096.2590353423, 1361323.5378342017 536105.6242847122, 1361323.5378341998 536128.7447441219, 1361322.9525061143 536166.4984056875))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.5,Huntington Park,HUN,County Parkland,NEIGHBORHOOD,,,,COLUMBIA,21046,"POLYGON ((1355253.685579872 544791.0150924176, 1355253.6855798732 544789.2591081572, 1355256.3195562586 544210.9549589553, 1355539.9110140456 544210.3696308731, 1355626.5395708065 544136.325627959, 1355626.2469067653 544006.3827928166, 1355635.3194921003 544006.6754568554, 1355656.976631293 544005.5048006818, 1355707.0221826679 544001.7001681316, 1355911.0090207215 543986.774301923, 1355911.009020722 543989.1156142702, 1355929.1541913948 544238.75804305, 1355983.8823674582 544308.9974134, 1355983.88236746 544613.0753542002, 1355982.419047244 544691.2166537172, 1355920.0816060582 544750.3347904321, 1355875.8893355485 544792.4784126392, 1355874.426015333 544792.4784126346, 1355834.6237054667 544792.4784126392, 1355253.685579872 544791.0150924176))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.6,Guilford Park,GUI,County Parkland,NEIGHBORHOOD,,,,JESSUP,20794,"POLYGON ((1362555.0681276547 541626.7314581996, 1363040.0124471074 541762.2349101572, 1363294.63016462 541954.2225224623, 1363296.3861488795 541955.3931786219, 1363110.8371455397 542317.12593592, 1363015.428667484 542511.7475245971, 1362934.6533915836 542681.7853336427, 1362853.2927875938 542835.7266203297, 1362803.832564306 542705.4911211439, 1362619.161553099 542224.9367623385, 1362618.5762250111 542223.1807780783, 1362617.9908969267 542221.4247938178, 1362585.7978521818 542121.9190191561, 1362563.5553849044 542018.0232838528, 1362552.4341512679 541912.3715642752, 1362551.2634950941 541839.2055535006, 1362555.0681276547 541626.7314581996))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.7,Atholton Park,ATH,County Parkland,NEIGHBORHOOD,,,,COLUMBIA,21046,"POLYGON ((1350033.144378679 553027.4592579718, 1350134.1134735555 553033.8978669265, 1350176.8424238511 553036.5318433124, 1350177.1350878961 553039.4584837465, 1350206.6941562511 553419.9217398033, 1350413.022306651 553458.8460575378, 1350456.9219131183 553712.2931188863, 1349810.7197059058 553743.900835536, 1349809.5490497346 553743.9008355266, 1349788.477238629 553670.4421607039, 1349778.526661163 553635.3224755336, 1349760.6741545347 553572.1070422204, 1349741.3583276882 553504.5016482658, 1349718.8231963685 553425.4823566185, 1349683.410847151 553300.8074742481, 1349660.2903877436 553218.8615421762, 1349598.2456106017 553000.2415019639, 1349608.1961880678 553000.2415019686, 1349707.409298686 553006.6801109139, 1349796.6718318388 553012.2407277338, 1349914.0301131303 553019.8499928574, 1350033.144378679 553027.4592579718))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.8,Headquarters,RPH,County Parkland,NEIGHBORHOOD,,,,COLUMBIA,21046,"POLYGON ((1360547.9781199319 549311.211238425, 1360282.8244968618 549511.3934439219, 1359809.294075094 549493.5409372933, 1359786.1736156875 549492.6629451631, 1359822.4639570336 549213.1687839803, 1359689.5944814563 549192.6823009565, 1359465.4138244265 548782.6599765492, 1359517.508024101 548793.7812101842, 1359571.9435361233 548811.0483887306, 1359624.0377357977 548834.1688481404, 1359662.669389491 548855.8259873284, 1359983.7218447942 549047.8135996149, 1360086.739587971 549087.3232454408, 1360192.9766356244 549116.0043216612, 1360301.8476596645 549133.2715002075, 1360339.8939852717 549136.4908046895, 1360441.155744191 549160.7819202634, 1360477.7387495823 549166.6352011268, 1360513.443762843 549249.4591253242, 1360547.9781199319 549311.211238425))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.9,Hopewell Park,HOP,,NEIGHBORHOOD,,,,COLUMBIA,21045,"POLYGON ((1359463.365176126 551511.4595146122, 1359415.075609008 551546.2865357391, 1359366.2007138093 551581.4062209142, 1359316.1551624357 551617.111234176, 1359271.9628919216 551648.7189508348, 1359203.7721698764 551697.5938460401, 1359118.8995973708 551576.1382681424, 1359065.6347415242 551493.607007979, 1359063.293429179 551490.3877034971, 1359043.6849382871 551459.3653149342, 1359027.5884159172 551426.586942111, 1359015.0038620613 551392.3452490617, 1359005.9312767256 551356.9328998432, 1359000.663323949 551320.64255849, 1358999.2000037334 551284.0595531074, 1359001.5413160801 551247.4765477107, 1359007.6872609865 551211.4788704056, 1359017.63783845 551176.3591852259, 1359031.1003844358 551142.4101562338, 1359048.36756298 551109.9244474447, 1359068.5613819533 551079.4873869641, 1359091.9745054056 551051.391638812, 1359118.0216052413 551025.9298670739, 1359146.9953455108 551003.1020717028, 1359176.2617498208 550984.6642369921, 1359177.7250700386 550983.786244862, 1359179.4810542956 550982.6155886883, 1359210.5034428686 550965.3484101373, 1359546.7744284153 550771.8974776431, 1359548.237748631 550774.5314540337, 1359719.4462138547 551076.8534105736, 1359679.9365680323 551272.9383194629, 1359692.2284578434 551339.9583853356, 1359710.9589566053 551444.146784687, 1359720.9095340716 551499.1676248036, 1359704.2276836133 551511.1668505688, 1359644.81688286 551553.8958008628, 1359598.2833000033 551488.6317192459, 1359574.2848484667 551486.5830709421, 1359506.3867904623 551480.7297900743, 1359463.365176126 551511.4595146122))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks.10,Holiday Hills Park,HHP,County Parkland,NEIGHBORHOOD,10524 NEWBERRY DRIVE,,,COLUMBIA,21044,"POLYGON ((1346183.7342195085 551310.1066529371, 1346268.3141279714 551328.8371517004, 1346353.479364518 551347.5676504639, 1346419.3287742229 551362.2008526197, 1346450.0584987483 551368.054133483, 1346565.9534598256 551336.7390808628, 1346730.7233161016 551288.1568497103, 1346890.8105476887 551244.5499072861, 1347051.1904433197 551201.2356289007, 1347170.0120448272 551172.8472167192, 1347149.525561809 551253.91515667, 1347137.819000082 551289.0348418404, 1347083.6761521061 551418.6850129394, 1347016.3634221875 551542.1892391316, 1347003.1935402493 551562.9683861987, 1346848.959589523 551774.2718253308, 1346715.5047858604 551678.863347272, 1346655.2159929771 551635.8417329347, 1346596.9758483937 551593.9907747663, 1346536.1017274272 551550.3838323468, 1346482.8368715777 551625.013163343, 1346489.5681445687 551658.3768642576, 1346490.1534726557 551661.0108406434, 1346482.2515434916 551655.1575597848, 1346480.4955592342 551653.694239568, 1346478.739574975 551652.8162474377, 1346441.2785774537 551630.5737801582, 1346419.3287742224 551620.0378746145, 1346401.1836035473 551612.7212735296, 1346419.3287742226 551607.7459847966, 1346436.0106246788 551603.0633601022, 1346492.2021209593 551521.9954201606, 1346421.0847584796 551506.1915618357, 1346420.7920944358 551506.1915618357, 1346417.8654540048 551505.606233749, 1346400.0129473761 551501.8016011894, 1346337.9681702335 551488.0463911592, 1346269.7774481867 551473.1205249552, 1346176.1249543896 551452.6340419408, 1346154.467815195 551402.5884905666, 1346124.6160827999 551334.9830966071, 1346106.178248081 551292.8394743999, 1346106.470912123 551292.8394743953, 1346107.934232341 551293.4248024867, 1346183.7342195085 551310.1066529371))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
